timestamp,dow,nikkie,sci,eur,yuan,gold,target
1121922000.0,-0.00574411555589,-0.000222234474335,-0.000411323810322,0.825726,8.27662,423.65,0
1226901600.0,-0.0263260094383,0.00711264784535,0.0221738595748,0.795958,6.82628,745.0,0
1275022800.0,-0.0119309874257,0.0127866784512,-5.6808606953e-05,0.813944,6.82969,1214.0,0
1226642400.0,-0.0382556336514,0.0271586087024,0.0305169916736,0.799149,6.82944,729.5,0
1226556000.0,0.0667173747691,-0.0525409090439,0.0368472293478,0.793615,6.82649,714.0,1
1226469600.0,-0.0473084886128,-0.0129170308651,0.00840902021369,0.784187,6.82431,731.5,0
1226383200.0,-0.0198974127727,-0.0299655450738,-0.0166385491495,0.781538,6.8262,741.75,0
1226296800.0,-0.00819562154789,0.0580717697775,0.0727167510081,0.782926,6.8252,751.75,0
1227074400.0,-0.0507430443453,-0.00662671506326,0.060472102382,0.792035,6.82644,737.75,0
1226988000.0,0.0182749951653,-0.0227830070237,-0.0630661797285,0.792916,6.8261,736.5,1
1085634000.0,0.009426403822,0.0012499899122,0.0214780700851,0.82635,8.27698,391.45,1
1085547600.0,-0.000761050051396,0.0172545113396,0.00421001407386,0.828898,8.27698,390.5,0
1085461200.0,0.015986503856,-0.0124945503547,-0.0208359526646,0.833442,8.27702,387.6,1
1085374800.0,-0.000832773134538,0.00283552765294,-0.0051221077855,0.836005,8.27702,383.85,0
1085115600.0,0.0029282724199,0.0191685907988,0.00598357378475,0.835809,8.27698,382.25,1
999234000.0,0.0030444775999,-0.0205641567132,-0.00298594775623,1.09389,8.27718,275.35,1
960872400.0,0.00545237689555,-0.00386676332593,0.0136555108707,1.04917,8.27754,293.0,1
960786000.0,-0.00469754269337,0.00703953466719,0.0061921825436,1.04753,8.27772,284.1,0
961131600.0,-0.0247788106171,-0.00124795730382,-0.00789846172495,1.04682,8.27727,290.3,0
961045200.0,0.00250748502994,-0.0189571296989,0.00517261632481,1.04285,8.27727,289.15,1
1085720400.0,-0.0016364206483,0.0128550612886,-0.00543029320607,0.819108,8.27684,393.85,0
1007964000.0,-0.0127369520872,-0.0209208392417,0.00187636753707,1.12054,8.27716,273.35,0
1372050000.0,-0.00944632890523,-0.0126491576424,-0.0529932239173,0.759688,6.18764,1283.25,0
1186376400.0,0.021764692495,-0.00385162186261,0.014763718854,0.728149,7.56779,674.15,1
1366347600.0,0.000715410914144,0.00729269966044,0.0214056111654,0.764412,6.23549,1414.0,1
1366261200.0,-0.00557508926983,-0.0121662809752,0.00173496221935,0.762409,6.23749,1397.0,0
1062565200.0,0.00474625392459,0.00239567898463,0.000924992695688,0.91987,8.27706,372.2,1
1014962400.0,0.0260040965358,0.0211724215444,-0.0145346597617,1.15257,8.27654,295.8,1
1015308000.0,-0.0144897419428,-0.00888803883244,0.0217939073913,1.15206,8.27666,296.6,0
1357279200.0,0.00327075585824,0.0281794062248,0.00346565431417,0.759234,6.30204,1632.25,1
1357538400.0,-0.00378855543647,-0.00833636629863,0.00367681186828,0.763888,6.29954,1653.75,0
1015394400.0,0.0135047060402,0.000888227026598,0.00585164541211,1.14808,8.27658,294.35,1
1357711200.0,0.00462153666094,0.00671008730441,-0.000320719476199,0.763949,6.29523,1663.5,1
1357624800.0,-0.00413917799213,-0.00858099011134,-0.00406672457563,0.765382,6.30044,1653.75,0
1422338400.0,-0.0164882033181,0.0171611561827,-0.00893298824222,0.891686,6.15764,1279.0,0
1396242000.0,0.00824600289407,0.00896840847494,-0.00411713593875,0.726883,6.16243,1294.0,1
1365656400.0,0.00424936833714,0.0196438475542,-0.00295266218889,0.765108,6.25434,1555.75,1
1431925200.0,0.0014404111958,0.00797396485862,-0.00584857616375,0.875391,6.09341,1228.15,1
1365570000.0,0.00877091355164,0.00726026826153,0.000158170151913,0.767352,6.26411,1581.5,1
1117515600.0,-0.00712347997648,0.000910678100144,0.000543360361024,0.799686,8.27662,416.9,0
1365742800.0,0.0,-0.00472501616336,-0.00575473986017,0.764152,6.24855,1548.0,0
1122354000.0,-0.00157599207285,-0.00209901680319,0.0262167422717,0.828658,8.11136,424.5,0
1194415200.0,-0.0264184643764,-0.00941252200819,0.011778839348,0.689537,7.45503,841.75,0
1272430800.0,0.00484898107715,-0.0256736581685,-0.00261248698553,0.751079,6.827,1164.25,1
1366174800.0,-0.00936517402147,0.0122112266137,-0.000477971343699,0.763899,6.24284,1379.0,0
1194328800.0,0.00867581257291,-0.00118569640763,-0.0173722834854,0.689858,7.45442,817.55,1
1288069200.0,0.000483693266811,-0.00252947508605,-0.00323620038301,0.714758,6.65814,1334.0,1
1366088400.0,0.0107951120609,-0.00408416606029,0.00591402493695,0.763815,6.24516,1378.0,1
1122440400.0,0.00541598139851,0.00827401013464,0.0159414050136,0.830839,8.1105,422.75,1
961390800.0,0.0103834706631,0.016732124834,-0.00609203701963,1.04163,8.27727,288.1,1
1332133200.0,0.000491211099859,0.0012004150119,0.00226552844458,0.761859,6.32884,1654.0,1
1330322400.0,-0.000115535700531,-0.00139416090172,0.00304551972213,0.746658,6.29794,1765.0,0
1273122000.0,-0.0318861118268,-0.0327120299528,-0.0411070258359,0.770716,6.82681,1178.0,0
1273208400.0,-0.0132980998641,-0.0309563945851,-0.018731544087,0.781216,6.82691,1199.6,0
1331614800.0,0.016821377038,0.000932267999749,0.00859846273329,0.762291,6.31889,1694.75,1
1331787600.0,0.00444895824649,0.00723942641774,-0.00730003142567,0.764354,6.33768,1646.75,1
1331874000.0,-0.00152420620548,0.000647023494361,0.0130434316684,0.766121,6.33848,1649.0,0
